Country,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,X
Eritrea,478.67,477.85,476.42,469.39,470.99,472.56,472.8,474.1,478.95,485.12,492.73,489.35,486.06,482.72,479.42,476.07,496.45,518.36,514.61,510.54,513.59,585.19,666.41,722.65,781.95,896.04,875.91,930.82,976.14,972.31,954.48,813.72,852.11,838.36,778.65,763.48,734.83,726.84,638.07,645.35,644.62,685.64,720.58,740.89,750.87,762.85,770.77,802.68,829.07,847.09,804.84,814.69,827.54,841.01,858.46,876.77,895.97,915.45,934.43,952.88,969.79,987.01,1004.53,1022.36, 
Ethiopia,,,,,,,,,,294.4,303.01,289.48,279.12,293.23,289.15,253.07,271.12,298.58,289.84,279.59,278.63,249.1,219.94,242.92,244.05,251.53,274.98,276.4,260.25,266.82,275.91,291.33,288.16,274.57,303.66,330.69,356.92,387.24,417.55,442.1,484.09,523.23,552.47,594.01,636.36,682.61,726.68,774.71,805.66,850.01,878.73,904.82,916.18,941.5,975.27,1017.34,1063.63,1106.26,1149.51,1195.63,1241.26,1288.67,1337.89,1389, 
Gabon,6395.42,6893.72,7496.86,7920.11,10364.26,11384.18,14522.75,12348.94,9114.38,9194.61,9541.59,9786.44,9181.58,9380.5,9748.3,9195.96,8834.56,7135.61,7877.32,8366,8612.81,8919.44,8568.05,8503.48,8680.11,9028.93,9183.38,9488.42,9596.53,8493.99,8082.02,8057.61,7866.06,7865.66,7701.27,7657.94,7203.76,7371.1,6873.36,6635.58,6848.66,7086.45,7207.08,7337.35,7386.57,7421.77,7341.79,7161.23,7021.49,7070.46,6769.73,6707.46,6724.63,6762.4,6814.67,6862.05,6904.53,6951.77,6999.34,7047.24,7102.4,7158,7214.03,7270.5, 
Kenya,735.43,868.7,982.33,1003.81,1007.32,979.2,963.15,1014.3,1042.75,1078.49,1094.13,1091.56,1065.85,1039.38,1018.72,1024.46,1059.97,1085.36,1115.52,1131.57,1143.54,1123.89,1075.56,1046.75,1048.48,1066.71,1082.13,1058.25,1063.32,1058.41,1036.17,1045.21,1020.66,1020.15,1040.43,1068.76,1103.23,1143.18,1111.17,1113.24,1171.31,1205.48,1224.37,1263.09,1297.49,1338.06,1384.61,1419.18,1474.88,1519.56,1482.75,1560.07,1600.46,1638.58,1693.55,1746.29,1801.96,1860.26,1920.45,1982.58,2048.73,2113.07,2179.42,2247.86, 
Lesotho,284.74,292.57,285.41,352.67,382.59,323.49,351.18,416.76,480.32,481.35,455.89,447.01,454.67,451.52,464.01,463.69,474.72,469.57,500.92,520.72,542.72,570.73,600.31,611.29,637.62,648.6,677.03,696.7,702.54,701.79,725.7,749.19,753.32,787.38,801.31,830.29,866.72,909.72,971.74,992.33,998.73,1049.3,1116.8,1160.15,1190.02,1217.99,1275.95,1248.88,1233.54,1243.08,1164.95,1174.66,1186.95,1201.56,1219.99,1239.64,1258.07,1278.03,1299.59,1322.8,1347.73,1374.47,1401.74,1429.55, 
Madagascar,824.96,838.19,808.61,769.18,766.32,757.58,715.18,713.42,676.48,723.02,709.91,622.61,593.7,582.14,575.51,565.44,559.84,549.94,552.04,557.65,558.11,507.39,498.09,493.38,478.46,471.97,467.75,470.58,474.5,482.24,489.35,503.98,428.97,457.63,468.07,476.52,488.2,501.76,520.71,486.34,476.11,470.65,471.95,470.12,473.2,475.5,481.99,488.51,498.33,509.72,462.2,477.45,486.23,494.45,506.92,519.45,532.53,546.09,560.55,575.39,591.2,606.28,621.75,637.62, 
Malawi,229.37,259.54,268.16,266.5,275.92,279.26,281.9,286.87,305.28,308.98,300.7,275.96,274.04,275.39,281.24,285.16,274.29,264.16,256.94,247.16,249.96,262.48,235.39,254.96,234.08,276.22,290.28,293.54,296.98,298.05,294.86,272.68,269.65,276.89,283.32,283.71,287.75,305.25,317.79,332.79,343.73,348.33,343.09,348.99,356.76,354.76,351.72,356.14,357.96,364.21,358.5,359.55,354.31,354.2,356.93,362.39,370.14,378.12,386.26,394.97,403.88,412.6,421.51,430.61, 
Mauritania,1568.06,1571.07,1533.68,1438.53,1585.58,1477.67,1575.16,1518.42,1481.9,1522.4,1541.93,1562.04,1493.08,1515.29,1434.03,1443.82,1491.51,1484.73,1475.06,1514.94,1457.84,1447.47,1424.52,1453.8,1367.93,1467.67,1528.52,1438.48,1441.77,1456.21,1363.37,1318.25,1302.92,1358.4,1387.37,1469.08,1695.88,1622.14,1577.88,1541.8,1544.89,1571.8,1604.15,1632.62,1664.07,1714.59,1698.16,1719.8,1719.03,1783.07,1715.76,1721.52,1776.77,1830.54,1925.71,2004.61,2077.56,2140.76,2195.44,2238.57,2269.35,2293.9,2318.71,2343.79, 
Mauritius,1484.2,1529.24,1632.19,1804.28,1922.14,1919.58,2372.83,2486.07,2535.92,2577.19,2276.86,2373,2470.66,2455.06,2545.35,2699.69,2940.54,3177.14,3364.76,3486.77,3708.5,3836.4,4036.96,4188.72,4312.29,4449.87,4647.91,4856.63,5096.89,5174.37,5538.37,5666.69,5702.44,5983.87,6186.96,6242.41,6490.75,6805.61,7114.31,7292.49,7553.82,7803.86,8019.01,8231.17,8482.19,8726.71,9005.08,9291.47,9584.05,9867.94,8417.02,8705.81,9209.69,9661.12,10039.47,10428.09,10827.29,11238.72,11665.79,12097.43,12545.03,12997.11,13465.47,13950.71, 
Mozambique,184.66,193.59,197.44,200.85,207.61,210.67,215.54,208.23,204.25,204.09,232.8,237.96,215.92,177.56,162,159.67,153.01,176.33,193.42,205.67,205.54,212.42,197.17,211.66,211.09,204.35,221.37,241.08,259.46,284.18,282.11,310.06,332.11,347.89,367.77,384.01,412.28,434.56,455.74,472.88,490.78,512.81,534.76,556.46,581.66,604.51,611.39,617.8,622.26,619.51,596.29,594.56,603.2,617.36,644.01,659.32,671.76,684.2,696.87,709.78,722.92,736.31,749.94,763.83, 
Namibia,,,,,,,,,,,3270.86,3253.23,3169.8,3018.58,2923.35,2854.69,2906.42,2924.68,2831.12,2730.01,2669.13,2808.67,2933.95,2813.07,2789.22,2826.45,2846.27,2896.82,2924.02,2953.01,2971.48,2925.88,3011.34,3096.46,3431.25,3474.36,3674.05,3821.84,3871.32,3830.29,4005.66,4150.71,4292.08,4447.14,4607.57,4719.62,4613.44,4512.24,4456.98,4323.84,3900.58,3964.85,4070.85,4077.77,4085.28,4133.63,4203.6,4269.67,4336.84,4400.81,4461.39,4518.42,4576.18,4634.67, 
Republic of Congo,1024,1075.18,1137.64,1199.08,1258.92,1318.4,1293.32,1144.74,1183.74,1263.89,1445.68,1653.45,1987.28,2045.71,2128.31,2045.11,1851.84,1803.44,1783.68,1778.37,1745.4,1736.21,1731.13,1663.24,1525.48,1542.8,1566.52,1523.92,1546.08,1467.56,1519.42,1519.46,1555.13,1523.04,1517.74,1569.39,1595.67,1506.22,1538.41,1591,1659,1660.29,1680.86,1706.72,1787.9,1799.46,1713.99,1648.4,1639.26,1589.15,1456.68,1391.86,1407.1,1415.82,1445.48,1447.62,1452.69,1458.37,1464.08,1468.37,1472.67,1476.99,1481.32,1485.67, 
Rwanda,350.42,344.5,335.73,337.32,332.64,315.86,365.27,360.18,379.93,411.69,434.34,443.28,436.6,447.39,415.1,421.24,430.48,415.04,417.88,403.18,382.11,363.77,375.68,330.76,210.08,323.34,302.96,295.49,308.08,317.79,341.79,365.51,405.48,407.18,428.22,458.77,490.39,514.64,557.94,580.35,609.25,639.86,674.98,685.54,707.08,754.38,783.81,794.77,842.66,901.68,854.19,929.98,988.62,1030.2,1089.36,1155.21,1215.94,1279.37,1346.11,1416.4,1490.36,1568.18,1650.06,1736.23, 
Seychelles,3889.95,4384.3,4562.51,4913.68,4901.45,4955.32,5662.22,5215.87,6252.43,7155.07,6769.35,6142.07,6018.81,5865.26,6069.66,6677.07,6600.13,6828.2,7120.25,7825.02,8279.47,8407.21,8903.41,9349.77,9173.12,9000.5,9345.44,10368.68,11128,11196.6,11219.55,10825.92,10828.64,10076.37,9680.49,10437.06,11295.98,12341.61,11952.11,11700.97,12276.5,13118.85,13160.89,13826.68,14322.78,14903.12,15456.67,16004.12,16475.98,17122.63,15529.22,15786.04,16816.02,17643.68,18347.31,19085.03,19795.67,20485.08,21178.79,21853.81,22506.82,23157.56,23827.13,24516.04, 
Sudan,1014.06,1009.53,933.1,913.47,987.67,1108.79,1255,1293.36,1180.37,1087.71,1071.36,1116.72,1147.98,1133.31,1036.8,935.8,950.05,1045.09,1003.18,1052.43,958.13,992.07,1018.29,1029.35,1016.32,1053.04,1090.27,1178.36,1201.48,1210.91,1258.78,1310.45,1363.3,1435.7,1457.9,1531.84,1648.08,1796.63,1891.97,1897.7,1846.02,1878.58,1813.51,1851.23,1851.31,1885.75,1917.58,1939.59,1837.74,1741.25,1633.62,1561.21,1509.72,1398.12,1349.32,1354.89,1353.29,1345.38,1337.51,1329.69,1321.91,1314.18,1306.48,1298.83, 
Swaziland/Eswatini,914.11,1012.44,1039.15,1102.72,1134.81,1257.77,1197.2,1174.63,1154.77,1150.28,1244.48,1381.9,1358.11,1328.11,1361.4,1363.51,1473.85,1628.02,1655.55,1794.55,2169.65,2111.7,2099.63,2104.08,2146.66,2237.02,2266.63,2307.34,2364.32,2433.71,2412.67,2442.78,2554.41,2658.02,2758.69,2928.45,3109.45,3255.4,3288.01,3338.86,3457.99,3519.24,3681.03,3789.14,3789.84,3843.48,3858.6,3903,3961.23,3972.96,3868.38,4140.96,4138.4,4214.88,4287.62,4368.43,4449.98,4534.02,4615.15,4693.14,4767.78,4843.61,4920.64,4998.91, 
São Tomé and Principe,1149.97,1191.89,1191.58,1185.38,1230.03,1265.37,1246.86,1492.39,1491.45,1689.14,1630.61,1426.46,1443.71,1361.51,1254.56,1343.99,1239.92,1178.65,1176.8,1187.54,1170.78,1158.22,1144.07,1138.3,1144.1,1146.61,1142.3,1131.36,1136.32,1140.49,1121,1096.99,1098.03,1143.97,1161.1,1215.49,1296.65,1309.3,1385.65,1388.86,1450.3,1482.89,1498.84,1540.39,1610.16,1640.5,1678.36,1713.37,1729.66,1742.73,1768.8,1773.53,1771.73,1791.33,1824.05,1859.77,1896.38,1933.78,1971.93,2010.86,2050.56,2091.04,2132.33,2174.43, 
Tanzania,532.45,537.95,555.78,554.13,550.6,566.29,585.13,570.2,560.17,563.19,564.08,545.62,533.65,506.4,508.87,517.43,512.39,521.56,526.8,531.67,553.83,549.81,537.5,526.44,514.84,516.63,529,534.99,539.09,549.09,556.52,573.09,595.68,616.53,643.72,672.01,695.45,721.23,740.82,759.45,785.81,821.92,834.71,866.4,899.07,928.16,964.74,998.49,1021.83,1050.1,1069.77,1091.34,1111.13,1133.8,1163.9,1195.77,1229.51,1265.43,1302.4,1341.75,1382.29,1425.4,1469.86,1515.7, 
Uganda,544.81,546.05,535.77,526.52,515.65,496.88,485.16,480.06,449.85,385.2,364.72,370.25,388.84,399.77,386.05,361.57,351.04,351.4,365.79,374.61,385.2,392.84,392.47,410.05,420.85,456.26,483.85,493.3,501.59,523.79,522.67,532.22,559.59,577.58,599.96,620.17,667.61,703.77,745.07,774.96,796.54,847.39,854.8,859.42,874.83,889.58,896.78,892.49,914.97,945.25,901.33,930.36,942.6,962.69,985.49,1014.07,1053.78,1091.6,1126.54,1159.35,1188.62,1212.88,1237.63,1262.89, 
Zambia,1270.02,1235.93,1314.16,1266.53,1311.4,1248.65,1292.15,1200.92,1175.83,1109.99,1112.88,1146.12,1076.02,1016.98,980.48,966.46,941.51,935.1,964.92,928.98,899.38,874.4,836.03,869.33,773.83,776.21,803.64,811.19,785.83,799.98,806.91,824.96,839.78,876.4,915.33,957.02,1005.62,1060.34,1111.55,1181.45,1266.77,1299.14,1358.09,1386.18,1410.02,1409.99,1421.32,1426.64,1439.57,1420.68,1340.49,1361.39,1385.03,1391.43,1402.51,1421.02,1437.52,1454.3,1472.7,1491.35,1510.22,1530.83,1551.72,1572.89, 
Zimbabwe,1465.84,1548.91,1627.27,1630.48,1690.46,1613.57,1582.48,1441.59,1376.63,1397.26,1535.69,1667.74,1665.21,1629.81,1538.74,1585.3,1562.19,1523.14,1580.56,1611.67,1676,1721.38,1524.6,1503.62,1624,1612.11,1748.47,1763.54,1783.4,1743.37,1673.38,1683.05,1524.28,1261.42,1186.43,1119.3,1074.84,1027.28,840.84,934.64,1108.34,1253.39,1447.79,1461.67,1480.14,1488.03,1478.91,1525.54,1573.55,1421.09,1320.88,1377.23,1404.75,1429.98,1454.28,1480.53,1506.3,1531.43,1556.98,1581.43,1604.71,1628.33,1652.3,1676.62, 
High income countries/1,16607.04,17163.58,17923.85,18887.29,18957.04,18786.98,19569.01,20176.9,20849.66,21516.96,21588.18,21798.36,21588.55,22049.3,22933.1,23585.55,24194.96,24872.29,25858.57,26551.66,27099.66,27229.68,27565.75,27730.85,28446.96,29139.1,29821.9,30660.45,31348.68,32226.77,33321.51,33606.88,33938.16,34504.81,35467.93,36300.9,37208.76,37951.92,37800.04,36335.88,37192.93,37710.35,38035.49,38415.31,39040.38,39793.71,40272.13,41058.55,41848.47,42435.76,40472.54,42570.16,43614.48,44052.96,44548.47,45260.8,46045.54,46803.36,47507.55,48200.63,48888.87,49552.32,50225.01,50907.09,
High income countries less USA/2,13907.9,14479.17,15147.22,16023.53,16241.05,16116.55,16764.92,17237.54,17702.91,18371.98,18594.6,18714.26,18701.91,18947.54,19466.47,19966.19,20478.22,21069.86,21978.76,22572.22,23191.91,23512.54,23669.55,23678.41,24238.25,24916.88,25440.48,26066.91,26464.97,27054.18,28010.14,28370.29,28659.74,29065.56,29844.46,30481.75,31338.83,32158.71,32152.67,30802.92,31629.11,32163.35,32303.18,32584.72,33067.6,33625.71,34110.29,34837.95,35394.35,35782.34,33793.34,35439.97,36526.13,36845.96,37357.59,37990.86,38597.15,39188.98,39773.58,40361.17,40937.14,41499.55,42070.39,42649.82,
Upper-middle income countries/3,1610.43,1669.28,1722.83,1815.54,1882.41,1929.03,1994.14,2055.91,2120.94,2244.93,2364.52,2387.82,2424.87,2426.9,2518.36,2578.83,2649.39,2724.11,2790.74,2822.09,2851.52,2851.9,2840.46,2915.94,2986.54,3049.62,3176.67,3327.85,3398.54,3455.57,3643.54,3748.79,3900.45,4106.95,4410.93,4720.54,5108.2,5564.08,5885.97,6005.75,6468.35,6876.35,7233.1,7588.46,7897.1,8182.08,8478.99,8867.61,9247.12,9583.16,9488.6,10184.94,10453.99,10845.89,11269.9,11702.21,12143.85,12592.8,13053.37,13540.47,14012.49,14473.2,14949.4,15441.62,
Lower-middle income countries/4,829.68,857.78,881.77,907.97,933.3,929.89,972.18,991.64,975.8,960.44,942.88,933.66,952.75,963.73,961.92,974.57,973.95,989.51,1011.67,1034.69,1063.42,1069.32,1079.45,1075.77,1082.42,1111.76,1155.76,1173.65,1167.73,1194.26,1224.95,1251.64,1289.9,1346.27,1410.73,1472.65,1542.45,1622.47,1664.64,1714.64,1799.02,1855.48,1904.59,1971.71,2050.89,2123.61,2216.41,2299.51,2357.25,2413.67,2305.64,2407,2496.43,2574.4,2674.04,2781.84,2894.81,3009.81,3126.59,3245.21,3365.36,3486.57,3612.4,3743.04,
Low income countries/5,503.37,512.31,509.25,504.92,520.99,520.1,524.73,520.71,504.82,633.41,642.97,654.49,648.58,642.35,632.84,611.79,615.74,621.41,619.94,603.76,582.63,572.75,557.51,547.43,541.63,555.6,568.7,578.22,583.35,581.87,586.29,597.02,609.07,617.78,636.24,661.57,684.4,713.38,737.02,753.57,778.27,777.54,768.1,773.99,783.85,768.58,772.49,781.33,786.77,776.14,751.66,747.79,748.95,752.3,764.9,784.87,806.23,826.26,846.06,865.9,885.18,903.98,923.33,943.25,
BRIICs/5,801.54,834.99,858.73,915.55,945.11,976.43,1011.54,1052.45,1094.19,1122.42,1184.19,1194.21,1231.75,1256.13,1317.87,1375.18,1435.21,1481.54,1541.91,1574.03,1554.92,1561.77,1555.12,1604.59,1656.65,1734.69,1806.79,1887.13,1910.11,1995.11,2111.17,2209.54,2326.99,2475.09,2656.46,2856.5,3104,3412.59,3632.34,3799.74,4108.53,4382.46,4621.44,4874.12,5118.81,5335.96,5577.55,5864.26,6158.7,6430.55,6401.26,6869.63,7059.49,7363.1,7689.55,8021.93,8366.36,8718.22,9079.05,9458.96,9827.83,10187.82,10561.59,10949.69,
Former centrally planned economies/7,3097.41,3203.58,3262.48,3433.09,3546.57,3623.5,3779.86,3917.86,4059.82,4159.46,4306.51,4467.12,4709.32,4862.57,4999.71,5040.72,5153.42,5262.71,5484.55,5580.48,5366.09,5018.07,4300.35,3887.59,3385.2,3258.68,3167.63,3224.01,3122.94,3289.03,3593.16,3812.89,4017.55,4320.89,4663.67,4986.94,5418.91,5889.41,6194.23,5808.7,6072.01,6338.94,6560.04,6706.27,6778.18,6693.97,6739.44,6890.94,7091.12,7238.8,7048.43,7436.56,7320.09,7373.4,7553,7750.9,7928.68,8114.04,8304.01,8501.61,8706.3,8914.44,9128.84,9349.76,
USMCA/8,21123.24,21467.54,22292.19,23276.08,22981.83,22724.98,23634.26,24367.36,25386.68,25938.42,25695.64,26126.09,25326.7,25989.82,27455.28,28243.11,28735.91,29360.8,30182.62,30885.4,31052.69,30606.33,31155.49,31536.04,32390.13,32658.96,33464.42,34548.26,35629.88,36827.36,37945.86,37898.44,38173.98,38883.34,39959.74,40967.92,41779.11,42276.02,41834.41,40279.22,40966.48,41309.92,41866.16,42268.23,42973.39,43806.29,44082.82,44733.4,45670.85,46338.95,44621,47059.18,47788.78,48314.3,48619.95,49245.45,50089.28,50888.71,51568.43,52208.7,52853.2,53466.24,54086.42,54713.83,
Europe and Central Asia/9,10410.67,10829.15,11225.55,11843.56,12058.06,11953.35,12416.79,12737.24,13095.13,13510.3,13711.39,13736.64,13878.73,14130.82,14458.1,14759.63,15089.45,15450,16030.94,16434.62,16634,16589.48,16387.23,16191.09,16386.5,16748.97,17003.74,17465.19,17915.13,18454.47,19202.6,19663.3,19943.22,20256.61,20829.52,21322.4,22091.84,22817.74,22966.92,21894.09,22369.25,22781.07,22768.05,22858.88,23211.26,23619.85,24010.77,24578.85,25062.75,25414.08,23846.09,25180.37,25940.93,26104.45,26436.8,26910.91,27375.93,27827.22,28267.97,28714.19,29153.16,29572.82,29999.29,30432.73,
Middle East and North Africa/10,3793.41,4091.16,4530.91,4819.93,5085.23,4913.76,5399.06,5457.48,5160.86,5537.06,5319,5177.45,4910.18,4701.36,4590.06,4475.44,4435.61,4417.46,4411.99,4421.48,5093.39,5163.85,5309.5,5374.88,5357.17,5406.57,5581.82,5713.8,5832.01,5549.58,5775.19,5671.14,5709.15,5893.51,6269.08,6512.64,6786.29,6980.46,7092.6,6921.79,7176.76,7415.25,7552.43,7689.39,7797.29,7900.02,8111.02,8224.01,8165.97,8091.42,7772.42,8124.25,8462.08,8564.51,8713.81,8887.44,9035.53,9191.13,9354.15,9516,9675.89,9851.12,10029.8,10211.99,
Other Southeast Asia outlook/11,981.22,1010.43,1036.14,1092.92,1113.76,1133.09,1213.81,1283.07,1334.49,1388.47,1416.63,1440.83,1464.09,1481,1453.1,1408.28,1427.33,1483.67,1591.78,1699.59,1791.61,1858.57,1936.56,2034.35,2146.57,2272.72,2391.03,2414.03,2272.17,2339.34,2437.07,2470.18,2564.02,2685.26,2821.66,2924.16,3042.91,3187.01,3261.4,3237.84,3432.58,3510.81,3693.84,3819.83,3940.45,4091.85,4253.42,4444.24,4630.84,4792.05,4478.98,4565.29,4809.06,4979.18,5179.79,5385.34,5591.3,5796.78,6005.16,6218.85,6432.8,6653.55,6882.37,7119.58,
Other South America outlook/12,3132.24,3234.11,3268,3294.01,3404.05,3341.49,3392.32,3465.4,3556.75,3685.63,3811.74,3887.91,3682.63,3445.02,3477.6,3502.26,3655.07,3829.93,3787.56,3748.66,3738.84,3800.89,3911.76,4042.22,4236.71,4416.38,4508.25,4686.58,4703.59,4568.57,4645.27,4653.33,4704.04,4818.2,5026.81,5232.42,5500.29,5780.48,5999.02,5960.48,6257.4,6575.2,6805.12,7077.6,7226.9,7348.85,7460.18,7523.31,7691.63,7767.78,7093.84,7813.34,8098.03,8128.95,8270.82,8472.97,8704.54,8945.26,9194.44,9450.63,9718.18,9989.3,10268.01,10554.53,
