Country,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,X
Libya,,,,,,,,,,18296.2,17589.6,13460.09,13097.14,11981.65,10564.87,10495.19,9250.92,7692.7,8046.58,8393,28539.61,32230.46,30558.88,28677.33,28563.75,24574.91,25005.25,24399.3,23685.74,6890.08,6972.56,6690.82,6478.56,7162.64,7322.25,8019.44,8364.88,8699.45,8716.5,8433.01,8634.27,3427.97,8034.95,6755.34,5007.31,4470.69,4261.26,5288.36,5961.2,5989.1,4142.44,5218.51,4822.45,5391.71,6066.41,6503.06,6836.16,7113.12,7366.16,7606.59,7832.31,8041.48,8256.24,8476.73, 
Tunisia,1115.76,1210.1,1396.35,1355.83,1430.97,1493.72,1568.66,1582.79,1648.7,1716.64,1797.43,1849.88,1805.65,1855.53,1873.53,1929.98,1854.69,1931.48,1890.04,1884.36,1995.2,2033.63,2151.5,2158.76,2189.22,2207.99,2333.82,2429.6,2516.37,2640.35,2736.32,2811.03,2819.55,2922.42,3074.44,3152.75,3288.51,3477.5,3591.28,3663.84,3751.05,3637.17,3738.63,3800.49,3866.99,3868.03,3869.95,3903.24,3968.2,3973.14,3592.32,3721.4,3787.78,3828.38,3884.66,3959.6,4039.04,4131.48,4230.24,4331.36,4443.64,4558.83,4677,4798.24, 
Sub-Saharan Africa,1321.34,1385.1,1384.42,1409.62,1472.53,1424.93,1451.92,1449.16,1400.03,1442.36,1461.99,1402.05,1343.47,1271.13,1267.2,1258.3,1246.52,1247.29,1265.8,1260.27,1251.24,1220.3,1183.18,1138.49,1123.59,1132.78,1160.98,1172.92,1173.03,1167.96,1178,1196.53,1242.09,1260.55,1308.26,1353.66,1399.97,1453.91,1492.91,1503.71,1546.84,1581.14,1611.81,1652.12,1687.69,1694.79,1673.78,1674.56,1673.54,1671.71,1595.45,1619.35,1632.97,1640.49,1659.17,1684.79,1705.85,1727.38,1749.11,1771.73,1795.12,1819.1,1843.6,1868.62,
Nigeria,1821.69,2020.77,2027.89,2074.82,2238.71,2058.7,2177.66,2239.81,2048.36,2122.76,2145.33,1806.85,1633.34,1424.7,1381.6,1425.36,1389.51,1396.57,1460.86,1451.9,1583.47,1551.33,1584.43,1514.27,1449.76,1411.98,1433.31,1436.8,1434.79,1404.52,1435.27,1478.82,1658.37,1730.38,1837.35,1901.1,1960.36,2032.2,2110.84,2219.22,2333.11,2392.23,2428.45,2523.84,2615.38,2618.79,2514.68,2473.01,2457.31,2448.7,2341.58,2360.73,2373.21,2381.37,2389.14,2402.85,2395.57,2393.24,2393.24,2395.57,2400.24,2409.61,2419.01,2428.45, 
South Africa,4598.82,4672.69,4631.39,4722.11,4885.37,4845.77,4832.6,4710.24,4733.73,4793.07,4980.11,5087.58,4909.98,4668.8,4753.42,4548.81,4439.56,4425.6,4504.6,4508.18,4395.24,4259.27,4087.24,4054.03,4114.98,4189.38,4315.71,4373.94,4336.76,4384.35,4511.36,4575.1,4680.43,4749.91,4896.25,5083.32,5298.49,5510.73,5612.37,5454.51,5571.71,5717.69,5792.45,5878.51,5921.38,5917.41,5872.63,5897.31,5886.23,5838.74,5415.8,5627.67,5688.89,5667.08,5719.88,5809.83,5886.52,5974.12,6063.02,6159.26,6281.59,6412.59,6546.31,6682.83, 
Other West African Community,956.48,978.34,973.43,960.88,982.44,967.63,1004.38,1017.76,1065.41,1068.53,998.5,992.62,969.15,906.3,879.99,897.11,900.35,891.58,892.49,893.49,840.2,836.96,815.77,807.7,802.39,820.08,844.65,861.78,882.01,891.06,892.17,899.74,895.72,894.61,899.9,912.03,921.18,931.04,953.91,958.38,979.21,993.77,1040.94,1081.06,1109.1,1123.25,1152.76,1199.67,1239.52,1279.23,1263.29,1295.5,1323.36,1358.33,1397.78,1435.91,1473.94,1509.36,1542.8,1574.1,1602.49,1627.48,1652.9,1678.75,
Benin,834.83,800.7,829.48,837.09,841.45,778.19,763.12,778.51,765.78,792.33,820.25,874.14,866.14,802.94,839.79,874.71,865.66,826.15,827.7,778.84,821.73,828.91,825.8,833.59,818.26,850.19,863.82,886.05,891.97,909.35,931.44,949.21,961.4,963.53,975.76,960.99,967.94,995.53,1011.82,1002.49,990.84,987.14,1000.97,1038.04,1067.71,1050.4,1048.88,1070.88,1104.15,1140.46,1144.93,1186.22,1215.98,1244.42,1276.26,1339.34,1394.31,1438.85,1480.68,1517.98,1548.87,1575.88,1603.37,1631.34, 
Burkina Faso,293.2,293.9,296.94,294.28,314.11,318.62,340.35,334.28,341.88,346.2,340.68,346.61,370.44,362.43,346.93,366.72,384.97,372.73,382,377.61,363.07,382.95,371.11,371.21,362.85,370.56,397.56,413.09,432.91,451.71,446.92,459.44,458.07,476.51,484.68,512.56,529.88,536.53,551.75,551.95,581.4,601.99,621.53,637.92,646.46,652.51,671.8,693.21,720.13,740.65,735.13,765.71,765,780.19,805.09,831.48,855.38,877.96,899.43,918.8,936.79,951.47,966.39,981.53, 
Cabo Verde,594.72,616.2,625.77,631.54,643.12,531.18,537.82,505.31,548,558.83,580.67,621.87,631.26,682.15,698.24,748.05,758.86,780.56,815.78,850.26,844.58,838.98,905.51,958.16,1112.56,1239.33,1347.19,1462.88,1610.23,1753.97,1965.12,1970.84,2036.02,2083.18,2256.07,2372.03,2520.11,2856.53,2999.44,2916.65,2915.93,2987.95,2977.2,2958.84,2935.52,2924.58,3021.04,3091.64,3189.65,3327.07,2799.4,2956.96,3438.02,3546.53,3673.5,3806.22,3945,4089.37,4239.03,4398.52,4564.01,4726.69,4895.17,5069.65, 
Côte d'Ivoire,2391.4,2486.22,2466.45,2494.28,2492.79,2590.33,2825.91,2932.67,3148.12,3122.27,2694.39,2703.79,2627.42,2449.04,2311.35,2342.79,2346.21,2267.25,2209.15,2178.31,2017.95,1903.75,1842.23,1770.21,1701.64,1756.53,1838.59,1858.61,1906.67,1888.91,1802.79,1759.09,1689.59,1626.29,1600.83,1584.71,1566,1549.49,1544.8,1553.1,1545.52,1446.15,1565.05,1661.44,1763.41,1873.4,1959.91,2054.57,2144.04,2239.27,2232.25,2336.41,2429.54,2519.9,2609.42,2708.1,2803.42,2891.28,2973.48,3046.36,3109.08,3157.85,3207.39,3257.7, 
