"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.288,14.467,no data,no data,no data,no data,no data,no data,no data
Bangladesh,24.775,26.355,24.678,23.904,26.817,28.819,29.639,32.449,34.914,38.07,41.068,42.488,43.292,43.684,46.438,51.842,55.445,57.599,59.879,61.526,61.687,62.537,65.036,71.755,77.152,79.53,86.028,95.374,109.765,122.76,138.094,154.097,159.749,179.676,207.102,233.687,265.236,293.755,321.379,351.238,373.902,416.265,460.201,446.349,455.162,491.815,546.924,613.706,691.865,779.978
Barbados,1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.229,2.377,2.513,2.833,2.969,3.059,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.725,4.833,4.982,5.097,5.367,4.78,4.945,5.841,6.388,6.863,7.268,7.643,8.019,8.412,8.81
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.8,11.408,15.687,10.532,14.494,14.091,15.215,12.133,10.785,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,61.312,68.207,72.835,71.805,69.048,70.815,73.435,76.402,80.005,83.378
Belgium,123.478,102.245,89.958,85.037,81.237,84.467,117.063,145.411,158.097,159.816,200.149,205.369,228.732,218.72,238.622,288.301,279.292,253.022,258.876,258.5,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.27,482.73,481.814,523.239,496.467,521.799,535.529,462.383,475.931,502.587,543.546,535.925,525.843,601.149,583.895,630.11,655.192,673.248,693.456,714.154,737.174,759.32
Belize,0.223,0.232,0.232,0.244,0.273,0.271,0.295,0.345,0.407,0.47,0.533,0.578,0.672,0.726,0.75,0.796,0.828,0.845,0.892,0.95,1.082,1.129,1.199,1.267,1.356,1.427,1.584,1.699,1.732,1.681,1.739,1.819,1.9,2.022,2.125,2.195,2.241,2.267,2.293,2.387,2.048,2.425,2.831,3.094,3.296,3.456,3.589,3.726,3.869,4.017
Benin,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.697,14.257,14.392,15.674,17.699,17.439,19.398,21.371,23.107,24.927,26.914,29.064,31.398
Bhutan,0.132,0.143,0.15,0.162,0.168,0.174,0.197,0.238,0.273,0.272,0.293,0.254,0.248,0.26,0.263,0.308,0.324,0.362,0.398,0.418,0.454,0.474,0.517,0.616,0.7,0.818,0.876,1.071,1.353,1.274,1.511,1.842,1.931,1.967,1.933,2.126,2.218,2.445,2.651,2.618,2.586,2.623,2.869,2.897,3.11,3.395,3.705,3.98,4.283,4.654
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.335,5.635,5.724,5.974,6.707,7.385,7.919,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,41.193,36.897,40.703,44.315,46.473,49.334,52.52,55.752,59.205,62.871,66.761
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.404,17.117,18.326,20.484,20.483,20.226,23.673,24.535,27.216,29.078,30.754,32.436,34.052,35.72,37.722
Botswana,1.174,1.037,1.094,1.208,1.2,1.117,1.515,2.374,3.082,3.441,3.799,3.802,3.928,3.957,4.258,4.805,4.926,5.011,4.808,5.413,5.682,5.46,5.395,7.469,8.819,9.833,9.919,10.566,10.731,10.118,12.637,15.111,13.907,14.272,15.47,13.531,15.083,16.105,17.032,16.696,14.93,18.737,20.352,20.445,21.418,22.779,24.828,26.791,28.909,31.184
Brazil,145.819,167.583,179.166,143.652,142.957,226.938,263.256,286.539,320.105,439.434,455.335,399.249,382.465,429.184,546.764,770.86,851.146,883.862,864.307,599.642,655.454,559.982,509.798,558.232,669.29,891.633,1107.628,1397.114,1695.855,1669.204,2208.704,2614.027,2464.053,2471.718,2456.055,1800.046,1796.622,2063.519,1916.934,1873.286,1476.092,1670.65,1951.849,2173.671,2331.391,2437.906,2596.117,2760.057,2903.891,3058.227
Brunei Darussalam,no data,no data,no data,no data,no data,4.831,3.291,3.872,3.689,4.109,4.923,5.254,5.526,5.588,6.002,7.153,7.204,7.043,5.353,5.779,6.65,6.206,6.475,7.266,8.723,10.561,12.71,13.571,15.949,11.892,13.707,18.525,19.048,18.094,17.098,12.93,11.4,12.128,13.567,13.469,12.006,14.006,16.682,15.128,15.51,16.319,17.025,17.771,18.678,19.769
Bulgaria,37.751,40.718,42.467,43.641,46.358,39.692,35.13,40.721,66.546,67.774,29.882,2.928,11.882,6.449,11.338,18.992,12.295,11.317,15.031,13.628,13.246,14.183,16.403,21.146,26.158,29.868,34.38,44.432,54.476,52.024,50.69,57.682,54.297,55.82,57.081,50.766,53.929,59.288,66.398,68.889,70.311,84.1,90.422,101.611,107.933,114.461,120.579,126.442,132.618,138.756
Burkina Faso,2.386,2.076,1.934,1.767,1.579,1.746,2.29,2.665,2.942,2.942,3.488,3.526,3.775,3.599,2.164,2.676,2.909,2.753,3.155,3.388,2.961,3.19,3.62,4.74,5.449,6.15,6.548,7.627,9.45,9.44,10.118,12.078,12.569,13.444,13.947,11.833,12.829,14.094,15.916,16.031,17.754,19.654,18.906,20.382,21.902,23.56,25.237,27.011,28.929,30.961
Burundi,0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,3.012,3.086,3.351,3.917,4.216,3.075,3.299,3.787,4.226,4.654,4.97
Cabo Verde,0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.657,0.609,0.616,0.679,0.825,0.943,1.041,1.084,1.231,1.472,1.662,1.825,2.047,1.913,2.029,2.042,1.75,1.855,1.965,2.073,2.231,1.83,1.999,2.246,2.52,2.718,2.904,3.092,3.293,3.505,3.734
Cambodia,no data,no data,no data,no data,no data,no data,0.208,0.142,0.279,0.35,0.909,2.033,2.466,2.453,2.795,3.479,3.545,3.481,3.164,3.551,3.707,4.154,4.507,5.054,5.879,7.058,8.342,10.117,12.162,12.49,13.796,16.017,17.829,19.806,22.04,24.217,26.591,29.394,33.181,36.682,34.681,36.299,39.063,41.855,45.15,48.725,52.61,56.747,61.097,65.607
Cameroon,8.85,10.026,9.616,9.692,10.243,10.698,13.945,16.152,16.403,14.626,14.641,16.325,14.963,15.611,10.622,10.075,11.227,11.352,11.338,11.553,10.245,10.95,12.369,15.944,18.803,19.534,20.912,23.931,27.712,27.903,27.53,30.626,30.174,33.729,36.396,32.213,33.805,36.086,39.992,39.673,40.863,45.391,44.508,48.958,53.205,57.661,61.828,66.137,70.232,74.693
Canada,276.064,307.246,314.639,341.863,356.728,366.184,379.015,433.14,509.38,567.225,596.089,612.514,594.376,579.059,579.913,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.473,1173.505,1319.356,1468.896,1552.864,1376.509,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2007.472,2161.483,2140.086,2242.182,2360.581,2469.208,2576.318,2688.151,2805.774
Central African Republic,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.072,2.28,2.278,2.388,2.584,2.459,2.632,2.81,2.986,3.165,3.338,3.515,3.711
Chad,1.006,1.19,1.15,1.151,1.236,1.34,1.65,1.87,2.186,2.065,2.488,2.465,2.57,2.246,1.819,2.23,2.479,2.382,2.69,2.37,2.142,2.638,3.076,4.227,6.816,9.097,10.249,11.993,14.354,12.998,14.289,16.237,16.174,16.92,18.213,14.508,13.4,13.344,15.334,14.917,14.615,16.047,16.417,17.493,18.697,19.698,20.783,21.964,23.252,24.632
Chile,29.032,34.374,25.63,20.819,20.246,17.36,18.662,22.01,25.947,29.889,33.231,38.249,46.597,49.855,57.517,74.119,78.575,85.73,81.996,75.596,78.25,71.517,70.295,76.508,99.079,122.315,153.84,172.565,179.663,171.794,217.105,251.225,267.165,277.218,259.394,242.515,249.306,276.357,295.428,278.04,254.06,315.601,302.16,335.658,333.76,374.753,391.385,408.875,426.968,445.147
"China, People's Republic of",303.004,288.699,284.601,305.428,314.23,310.133,300.92,327.728,408.663,458.18,396.59,413.209,492.148,617.433,561.686,730.996,860.468,957.991,1024.167,1088.346,1205.532,1333.649,1465.829,1656.962,1949.446,2290.019,2754.149,3555.655,4577.28,5088.992,6033.83,7492.212,8539.584,9624.928,10524.241,11113.508,11226.897,12265.327,13841.812,14340.6,14862.564,17759.307,17848.54,17662.041,18532.633,19790.074,21027.664,22276.918,23579.013,24842.337
Colombia,46.501,50.661,54.252,53.92,53.257,48.581,48.648,50.64,54.592,55.048,56.071,57.954,68.579,77.721,97.665,110.564,116.13,127.49,117.725,103.132,99.27,97.606,97.353,94.072,116.382,145.601,161.793,206.23,242.505,232.469,286.498,334.966,370.691,382.094,381.24,293.492,282.719,311.89,334.124,323.055,270.348,318.525,345.33,363.616,386.076,400.48,417.861,439.433,462.1,485.35
Comoros,0.242,0.212,0.201,0.195,0.188,0.191,0.257,0.312,0.336,0.328,0.401,0.4,0.436,0.427,0.314,0.392,0.392,0.362,0.363,0.372,0.339,0.373,0.427,0.547,0.622,0.656,0.689,0.796,0.916,0.904,0.909,1.023,1.016,1.116,1.15,0.966,1.013,1.077,1.179,1.188,1.218,1.273,1.225,1.34,1.422,1.516,1.617,1.716,1.818,1.924
"Congo, Dem. Rep. of the",68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,7.246,8.72,9.022,10.275,12.72,15.403,18.598,22.665,18.626,22.34,26.406,30.074,34.908,38.355,40.154,38.086,39.461,48.037,50.891,49.613,58.182,65.927,67.268,73.761,83.082,91.93,102.155,111.926,122.371
"Congo, Republic of ",2.165,1.775,1.548,1.407,1.294,1.327,1.815,2.205,2.346,2.478,2.909,3.035,3.28,3.004,2.068,2.457,2.84,2.568,2.24,2.646,3.624,3.038,3.33,3.863,5.101,6.654,8.073,8.784,11.649,9.713,13.159,15.653,17.704,17.959,17.918,11.891,10.928,11.83,14.781,13.977,11.485,13.387,13.961,14.423,15.501,16.229,17.084,18.076,19.188,20.527
Costa Rica,4.854,2.636,2.619,3.162,3.678,3.941,4.425,4.554,4.636,5.25,5.737,7.197,8.566,9.586,10.489,11.578,11.683,12.618,13.688,14.259,15.016,15.979,16.584,17.277,18.615,20.049,22.717,26.885,30.802,30.746,37.656,42.762,47.231,50.949,52.017,56.442,58.847,60.517,62.422,64.412,62.382,64.954,69.235,86.509,96.058,102.334,108.021,114.297,120.956,127.867
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.568,7.355,16.663,20.65,22.097,22.094,23.963,23.585,22.138,23.063,26.739,35.249,41.836,45.05,49.601,59.325,68.512,62.021,58.869,62.724,57.391,59.494,59.358,50.862,52.497,56.042,61.508,61.475,57.718,69.129,71.657,82.044,88.076,92.315,97.053,101.634,106.426,111.286
Cyprus,2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.955,26.02,25.821,27.637,25.063,23.96,23.232,19.911,21.04,22.938,25.609,25.95,25.207,29.502,29.274,32.185,34.221,35.935,37.806,39.796,41.804,43.817
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.139,67.388,62.171,66.782,65.173,61.823,67.809,82.184,100.125,119.815,137.143,156.264,189.988,237.131,207.558,209.07,229.563,208.858,211.686,209.359,188.033,196.272,218.629,249.001,252.548,245.975,281.791,290.566,332.025,325.88,337.53,351.158,365.662,381.166,397.087
Côte d'Ivoire,13.877,11.502,10.32,9.312,9.284,9.47,12.675,13.944,14.092,13.487,14.923,14.504,15.416,15.268,11.492,15.205,16.78,16.203,17.433,17.114,14.851,15.485,17.148,21.206,22.924,23.626,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,48.408,52.512,58.522,60.383,63.119,72.833,72.046,79.978,86.911,93.892,101.688,109.883,118.67,128.306
Denmark,71.127,61.878,60.413,60.645,59.105,62.658,88.079,109.414,115.552,112.41,138.248,139.226,152.915,143.195,156.164,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,313.116,332.121,356.841,346.499,354.763,405.688,400.167,405.199,409.989,424.326,441.465,458.995,477.516,496.843
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.635,0.65,0.672,0.655,0.691,0.699,0.694,0.706,0.722,0.759,0.781,0.811,0.837,0.882,0.936,0.996,1.08,1.191,1.382,1.426,1.544,1.74,1.901,2.044,2.221,2.424,2.605,2.763,2.913,3.089,3.185,3.386,3.726,4.023,4.364,4.715,5.103,5.498,5.926,6.322
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.498,0.52,0.541,0.576,0.522,0.555,0.612,0.504,0.555,0.607,0.658,0.708,0.753,0.793,0.833,0.874,0.913
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,67.264,71.254,75.777,80.082,85.63,89.032,78.923,94.458,113.873,119.966,127.356,136.3,145.936,156.48,167.823,179.897
Ecuador,16.116,16.501,16.474,14.478,15.408,18.02,13.222,12.355,11.749,11.531,11.71,13.139,14.367,16.783,20.238,21.98,23.001,25.847,26.292,18.891,17.531,23.127,27.054,30.965,35.195,40.279,45.691,49.849,61.139,60.095,68.151,78.987,87.735,96.57,102.718,97.21,97.671,104.467,107.479,107.596,95.865,107.435,116.586,120.175,121.592,124.408,128.731,133.47,138.747,144.301
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,294.482,303.194,321.634,350.119,351.443,246.826,263.156,317.894,382.525,423.3,475.231,393.909,347.594,328.845,374.251,426.392,482.639,539.606
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.021,26.881,24.921,29.043,31.989,34.016,35.333,37.09,38.859,40.643,42.44,44.325
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.071,3.768,5.954,8.187,10.095,13.089,19.83,15.088,16.314,21.357,22.388,21.949,21.765,13.185,11.241,12.201,13.097,11.364,9.894,12.269,11.767,10.284,10.708,10.734,10.926,11.431,11.831,12.443
